scene,query_count,Acc,vIoU,tIoU
americano,3,0.9771863117870723,0.6934520427329885,0.9434096693045165
espresso,4,0.8326898326898327,0.3921316718642638,0.5729144839639548
split-cookie,3,0.9387755102040817,0.5488314311570757,0.8747367767941515
chickchicken,3,0.7843567251461988,0.584147367199053,0.6535220787552567
